100 460
23 24 -0.100000000e+01
23 33 -0.100000000e+01
24 14 -0.100000000e+01
24 23 -0.100000000e+01
24 24 0.400000000e+01
24 25 -0.100000000e+01
24 34 -0.100000000e+01
25 15 -0.100000000e+01
25 24 -0.100000000e+01
25 25 0.400000000e+01
25 26 -0.100000000e+01
25 35 -0.100000000e+01
26 16 -0.100000000e+01
26 25 -0.100000000e+01
26 26 0.400000000e+01
26 27 -0.100000000e+01
26 36 -0.100000000e+01
27 17 -0.100000000e+01
27 26 -0.100000000e+01
27 27 0.400000000e+01
27 28 -0.100000000e+01
27 37 -0.100000000e+01
28 18 -0.100000000e+01
28 27 -0.100000000e+01
28 28 0.400000000e+01
28 29 -0.100000000e+01
28 38 -0.100000000e+01
29 19 -0.100000000e+01
29 28 -0.100000000e+01
29 29 0.400000000e+01
29 30 -0.100000000e+01
29 39 -0.100000000e+01
30 20 -0.100000000e+01
30 29 -0.100000000e+01
30 30 0.400000000e+01
30 40 -0.100000000e+01
31 21 -0.100000000e+01
31 31 0.400000000e+01
31 32 -0.100000000e+01
31 41 -0.100000000e+01
32 22 -0.100000000e+01
32 31 -0.100000000e+01
32 32 0.400000000e+01
32 33 -0.100000000e+01
32 42 -0.100000000e+01
33 23 -0.100000000e+01
33 32 -0.100000000e+01
33 33 0.400000000e+01
33 34 -0.100000000e+01
33 43 -0.100000000e+01
34 24 -0.100000000e+01
34 33 -0.100000000e+01
34 34 0.400000000e+01
34 35 -0.100000000e+01
34 44 -0.100000000e+01
35 25 -0.100000000e+01
35 34 -0.100000000e+01
35 35 0.400000000e+01
35 36 -0.100000000e+01
35 45 -0.100000000e+01
36 26 -0.100000000e+01
36 35 -0.100000000e+01
36 36 0.400000000e+01
36 37 -0.100000000e+01
36 46 -0.100000000e+01
37 27 -0.100000000e+01
37 36 -0.100000000e+01
37 37 0.400000000e+01
37 38 -0.100000000e+01
37 47 -0.100000000e+01
38 28 -0.100000000e+01
38 37 -0.100000000e+01
38 38 0.400000000e+01
38 39 -0.100000000e+01
38 48 -0.100000000e+01
39 29 -0.100000000e+01
39 38 -0.100000000e+01
39 39 0.400000000e+01
39 40 -0.100000000e+01
39 49 -0.100000000e+01
40 30 -0.100000000e+01
40 39 -0.100000000e+01
40 40 0.400000000e+01
40 50 -0.100000000e+01
41 31 -0.100000000e+01
41 41 0.400000000e+01
41 42 -0.100000000e+01
41 51 -0.100000000e+01
42 32 -0.100000000e+01
42 41 -0.100000000e+01
42 42 0.400000000e+01
42 43 -0.100000000e+01
42 52 -0.100000000e+01
43 33 -0.100000000e+01
43 42 -0.100000000e+01
43 43 0.400000000e+01
43 44 -0.100000000e+01
43 53 -0.100000000e+01
44 34 -0.100000000e+01
44 43 -0.100000000e+01
44 44 0.400000000e+01
44 45 -0.100000000e+01
44 54 -0.100000000e+01
45 35 -0.100000000e+01
45 44 -0.100000000e+01
45 45 0.400000000e+01
45 46 -0.100000000e+01
45 55 -0.100000000e+01
46 36 -0.100000000e+01
46 45 -0.100000000e+01
46 46 0.400000000e+01
46 47 -0.100000000e+01
46 56 -0.100000000e+01
47 37 -0.100000000e+01
47 46 -0.100000000e+01
47 47 0.400000000e+01
47 48 -0.100000000e+01
47 57 -0.100000000e+01
48 38 -0.100000000e+01
48 47 -0.100000000e+01
48 48 0.400000000e+01
48 49 -0.100000000e+01
48 58 -0.100000000e+01
49 39 -0.100000000e+01
49 48 -0.100000000e+01
49 49 0.400000000e+01
49 50 -0.100000000e+01
49 59 -0.100000000e+01
50 40 -0.100000000e+01
50 49 -0.100000000e+01
50 50 0.400000000e+01
50 60 -0.100000000e+01
51 41 -0.100000000e+01
51 51 0.400000000e+01
51 52 -0.100000000e+01
51 61 -0.100000000e+01
52 42 -0.100000000e+01
52 51 -0.100000000e+01
52 52 0.400000000e+01
52 53 -0.100000000e+01
52 62 -0.100000000e+01
53 43 -0.100000000e+01
53 52 -0.100000000e+01
53 53 0.400000000e+01
53 54 -0.100000000e+01
53 63 -0.100000000e+01
54 44 -0.100000000e+01
54 53 -0.100000000e+01
54 54 0.400000000e+01
54 55 -0.100000000e+01
54 64 -0.100000000e+01
55 45 -0.100000000e+01
55 54 -0.100000000e+01
55 55 0.400000000e+01
55 56 -0.100000000e+01
55 65 -0.100000000e+01
56 46 -0.100000000e+01
56 55 -0.100000000e+01
56 56 0.400000000e+01
56 57 -0.100000000e+01
56 66 -0.100000000e+01
57 47 -0.100000000e+01
57 56 -0.100000000e+01
57 57 0.400000000e+01
57 58 -0.100000000e+01
57 67 -0.100000000e+01
58 48 -0.100000000e+01
58 57 -0.100000000e+01
58 58 0.400000000e+01
58 59 -0.100000000e+01
58 68 -0.100000000e+01
59 49 -0.100000000e+01
59 58 -0.100000000e+01
59 59 0.400000000e+01
59 60 -0.100000000e+01
59 69 -0.100000000e+01
60 50 -0.100000000e+01
60 59 -0.100000000e+01
60 60 0.400000000e+01
60 70 -0.100000000e+01
61 51 -0.100000000e+01
61 61 0.400000000e+01
61 62 -0.100000000e+01
61 71 -0.100000000e+01
62 52 -0.100000000e+01
62 61 -0.100000000e+01
62 62 0.400000000e+01
62 63 -0.100000000e+01
62 72 -0.100000000e+01
63 53 -0.100000000e+01
63 62 -0.100000000e+01
63 63 0.400000000e+01
63 64 -0.100000000e+01
63 73 -0.100000000e+01
64 54 -0.100000000e+01
64 63 -0.100000000e+01
64 64 0.400000000e+01
64 65 -0.100000000e+01
64 74 -0.100000000e+01
65 55 -0.100000000e+01
65 64 -0.100000000e+01
65 65 0.400000000e+01
65 66 -0.100000000e+01
65 75 -0.100000000e+01
66 56 -0.100000000e+01
66 65 -0.100000000e+01
66 66 0.400000000e+01
66 67 -0.100000000e+01
66 76 -0.100000000e+01
67 57 -0.100000000e+01
67 66 -0.100000000e+01
67 67 0.400000000e+01
67 68 -0.100000000e+01
67 77 -0.100000000e+01
68 58 -0.100000000e+01
68 67 -0.100000000e+01
68 68 0.400000000e+01
68 69 -0.100000000e+01
68 78 -0.100000000e+01
69 59 -0.100000000e+01
69 68 -0.100000000e+01
69 69 0.400000000e+01
69 70 -0.100000000e+01
69 79 -0.100000000e+01
70 60 -0.100000000e+01
70 69 -0.100000000e+01
70 70 0.400000000e+01
70 80 -0.100000000e+01
71 61 -0.100000000e+01
71 71 0.400000000e+01
71 72 -0.100000000e+01
71 81 -0.100000000e+01
72 62 -0.100000000e+01
72 71 -0.100000000e+01
72 72 0.400000000e+01
72 73 -0.100000000e+01
72 82 -0.100000000e+01
73 63 -0.100000000e+01
73 72 -0.100000000e+01
73 73 0.400000000e+01
73 74 -0.100000000e+01
73 83 -0.100000000e+01
74 64 -0.100000000e+01
74 73 -0.100000000e+01
74 74 0.400000000e+01
74 75 -0.100000000e+01
74 84 -0.100000000e+01
75 65 -0.100000000e+01
75 74 -0.100000000e+01
75 75 0.400000000e+01
75 76 -0.100000000e+01
75 85 -0.100000000e+01
76 66 -0.100000000e+01
76 75 -0.100000000e+01
76 76 0.400000000e+01
76 77 -0.100000000e+01
76 86 -0.100000000e+01
77 67 -0.100000000e+01
77 76 -0.100000000e+01
77 77 0.400000000e+01
77 78 -0.100000000e+01
77 87 -0.100000000e+01
78 68 -0.100000000e+01
78 77 -0.100000000e+01
78 78 0.400000000e+01
78 79 -0.100000000e+01
78 88 -0.100000000e+01
79 69 -0.100000000e+01
79 78 -0.100000000e+01
79 79 0.400000000e+01
79 80 -0.100000000e+01
79 89 -0.100000000e+01
80 70 -0.100000000e+01
80 79 -0.100000000e+01
80 80 0.400000000e+01
80 90 -0.100000000e+01
81 71 -0.100000000e+01
81 81 0.400000000e+01
81 82 -0.100000000e+01
81 91 -0.100000000e+01
82 72 -0.100000000e+01
82 81 -0.100000000e+01
82 82 0.400000000e+01
82 83 -0.100000000e+01
82 92 -0.100000000e+01
83 73 -0.100000000e+01
83 82 -0.100000000e+01
83 83 0.400000000e+01
83 84 -0.100000000e+01
83 93 -0.100000000e+01
84 74 -0.100000000e+01
84 83 -0.100000000e+01
84 84 0.400000000e+01
84 85 -0.100000000e+01
84 94 -0.100000000e+01
85 75 -0.100000000e+01
85 84 -0.100000000e+01
85 85 0.400000000e+01
85 86 -0.100000000e+01
85 95 -0.100000000e+01
86 76 -0.100000000e+01
86 85 -0.100000000e+01
86 86 0.400000000e+01
86 87 -0.100000000e+01
86 96 -0.100000000e+01
87 77 -0.100000000e+01
87 86 -0.100000000e+01
87 87 0.400000000e+01
87 88 -0.100000000e+01
87 97 -0.100000000e+01
88 78 -0.100000000e+01
88 87 -0.100000000e+01
88 88 0.400000000e+01
88 89 -0.100000000e+01
88 98 -0.100000000e+01
89 79 -0.100000000e+01
89 88 -0.100000000e+01
89 89 0.400000000e+01
89 90 -0.100000000e+01
89 99 -0.100000000e+01
90 80 -0.100000000e+01
90 89 -0.100000000e+01
90 90 0.400000000e+01
90 100 -0.100000000e+01
91 81 -0.100000000e+01
91 91 0.400000000e+01
91 92 -0.100000000e+01
92 82 -0.100000000e+01
92 91 -0.100000000e+01
92 92 0.400000000e+01
92 93 -0.100000000e+01
93 83 -0.100000000e+01
93 92 -0.100000000e+01
93 93 0.400000000e+01
93 94 -0.100000000e+01
94 84 -0.100000000e+01
94 93 -0.100000000e+01
94 94 0.400000000e+01
94 95 -0.100000000e+01
95 85 -0.100000000e+01
95 94 -0.100000000e+01
95 95 0.400000000e+01
95 96 -0.100000000e+01
96 86 -0.100000000e+01
96 95 -0.100000000e+01
96 96 0.400000000e+01
96 97 -0.100000000e+01
97 87 -0.100000000e+01
97 96 -0.100000000e+01
97 97 0.400000000e+01
97 98 -0.100000000e+01
98 88 -0.100000000e+01
98 97 -0.100000000e+01
98 98 0.400000000e+01
98 99 -0.100000000e+01
99 89 -0.100000000e+01
99 98 -0.100000000e+01
99 99 0.400000000e+01
99 100 -0.100000000e+01
100 90 -0.100000000e+01
100 99 -0.100000000e+01
100 100 0.400000000e+01
